instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
ITT Technical Institute-Saint Rose,LA,5,1,1,,,414,0,0,55,97,51,97,98
ITT Technical Institute-Salem,OR,8,1,1,,,188,0,0,0,96,49,97,95
ITT Technical Institute-Salem,VA,5,1,1,,,230,0,0,0,74,47,85,59
ITT Technical Institute-San Antonio,TX,6,1,1,,,502,0,0,39,93,46,95,88
ITT Technical Institute-San Antonio East,TX,6,1,1,,,228,0,0,0,96,45,96,92
ITT Technical Institute-San Bernardino,CA,8,1,1,,,686,0,0,86,94,45,93,97
ITT Technical Institute-San Dimas,CA,8,1,1,,,551,0,0,75,96,41,96,95
ITT Technical Institute-Seattle,WA,8,1,1,,,414,0,0,60,93,38,92,95
ITT Technical Institute-South Bend,IN,3,1,1,,,223,0,0,11,70,45,91,52
ITT Technical Institute-Southfield,MI,3,1,1,,,36,0,0,0,89,43,88,96
ITT Technical Institute-Spokane Valley,WA,8,1,1,,,295,0,0,36,95,41,95,97
ITT Technical Institute-Springfield,MO,4,1,1,,,166,0,0,9,99,45,100,97
ITT Technical Institute-Springfield,VA,5,1,1,,,757,0,0,50,83,49,83,87
ITT Technical Institute-Springfield,IL,3,1,1,,,275,0,0,0,99,53,99,100
ITT Technical Institute-St Petersburg,FL,5,1,1,,,151,0,0,7,65,27,85,47
ITT Technical Institute-Strongsville,OH,3,1,1,,,394,0,0,13,72,48,83,63
ITT Technical Institute-Swartz Creek,MI,3,1,1,,,370,0,0,25,98,37,99,97
ITT Technical Institute-Sylmar,CA,8,1,1,,,607,0,0,78,94,49,94,95
ITT Technical Institute-Tallahassee,FL,5,1,1,,,395,0,0,4,58,34,89,41
ITT Technical Institute-Tampa,FL,5,1,1,,,471,0,0,38,73,39,83,55
ITT Technical Institute-Tarentum,PA,2,2,1,,,204,,,,87,48,88,83
ITT Technical Institute-Tempe,AZ,6,1,1,,,445,0,0,58,98,48,98,97
ITT Technical Institute-Torrance,CA,8,1,1,,,453,0,0,58,94,42,94,91
ITT Technical Institute-Troy,MI,3,1,1,,,466,0,0,67,87,36,87,87
ITT Technical Institute-Tucson,AZ,6,1,1,,,400,0,0,24,97,35,96,100
ITT Technical Institute-Tulsa,OK,6,1,1,,,471,0,0,22,75,34,88,62
ITT Technical Institute-Waco,TX,6,1,1,,,174,0,0,0,94,42,94,93
ITT Technical Institute-Warrensville Heights,OH,3,1,1,,,406,0,0,15,64,54,76,54
ITT Technical Institute-Webster,TX,6,1,1,,,378,0,0,26,97,41,97,100
ITT Technical Institute-West Chester,OH,3,1,1,,,14,0,0,0,67,43,68,63
ITT Technical Institute-West Covina,CA,8,1,1,,,8,0,0,29,100,0,100,
ITT Technical Institute-West Palm Beach,FL,5,1,1,,,346,0,0,0,69,47,84,49
ITT Technical Institute-Westminster,CO,7,1,1,,,212,0,0,11,96,36,95,100
ITT Technical Institute-Wichita,KS,4,1,1,,,189,0,0,3,81,41,91,62
ITT Technical Institute-Wilmington,MA,1,1,1,,,347,0,0,33,92,43,92,95
ITT Technical Institute-Wyoming,MI,3,1,1,,,312,0,0,12,94,44,93,97
ITT Technical Institute-Youngstown,OH,3,1,1,,,511,0,0,12,61,46,81,47
Iverson Business School,TX,6,3,2,,,,,,,,,,
Iverson Institute,GA,5,3,2,,,,,,,,,,
Ivy Tech Community College,IN,3,2,1,,,91179,,,,,,,
J Everett Light Career Center,IN,3,3,2,,,40,,,,89,53,100,88
J F Drake State Community and Technical College,AL,5,2,1,,,1062,,,,,,,
J F Ingram State Technical College,AL,5,2,1,,,473,,,,,,,
J Michael Harrold Beauty Academy,IN,3,3,2,,,92,,,,,,,
J Renee Career Facilitation,IL,3,3,2,,,83,,,,,,,
J Sargeant Reynolds Community College,VA,5,2,1,,,11861,,,,,,,
Jackson College,MI,3,1,1,18252,16932,5487,0,0,0,,,,
Jackson State Community College,TN,5,2,1,,,4924,,,,,,,
Jackson State University,MS,5,1,1,30812,21240,9508,71,424,1093,65,32,68,63
Jacksonville Beauty Institute,FL,5,3,2,,,15,,,,,,,
Jacksonville College-Main Campus,TX,6,2,1,16575,16575,543,,,,,,,
Jacksonville State University,AL,5,1,1,27029,20237,8659,0,341,1304,83,45,83,83
Jacksonville University,FL,5,1,1,46800,46800,4085,0,276,970,47,32,52,44
James A Rhodes State College,OH,3,2,1,,,3657,,,,,,,
James H Faulkner State Community College,AL,5,2,1,16890,13500,4481,,,,,,,
James Madison University,VA,5,1,1,38872,24012,20855,24,820,3990,64,30,58,67
James Rumsey Technical Institute,WV,5,3,2,,,134,,,,,,,
James Sprunt Community College,NC,5,2,1,,,1213,,,,,,,
Jameson Health System,PA,2,2,2,,,84,,,,,,,
Jamestown Business College,NY,2,1,1,,,318,0,0,28,,,,
Jamestown Community College,NY,2,2,1,22570,18160,5065,,,,,,,
Janus University,CA,8,-3,-3,,,,,,,,,,
Jarvis Christian College,TX,6,1,1,23232,23232,763,0,0,65,,,,
Jay's Technical Institute,TX,6,3,2,,,128,,,,,,,
JB's Hair Design and Barber College,OK,6,3,2,,,41,,,,,,,
Jean Madeline Aveda Institute,PA,2,3,2,,,297,,,,,,,
Jefferson College,MO,4,2,1,12784,11632,4882,,,,,,,
Jefferson College of Health Sciences,VA,5,1,1,38328,38328,1131,0,66,131,41,32,39,42
Jefferson Community and Technical College,KY,5,2,1,,,13550,,,,,,,
Jefferson Community College,NY,2,2,1,20985,18897,3880,,,,,,,
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,PA,2,3,2,,,39,,,,90,64,50,93
Jefferson Davis Community College,AL,5,2,1,16558,13168,1086,,,,,,,
Jefferson Lewis BOCES-Practical Nursing Program,NY,2,3,2,,,77,,,,72,92,100,71
Jefferson Regional Medical Center School of Nursing,AR,5,2,1,,,73,,,,,,,
Jefferson State Community College,AL,5,2,1,,,8516,,,,,,,
Jenny Lea Academy of Cosmetology,KY,5,2,2,,,24,,,,,,,
Jenny Lea Academy of Cosmetology,KY,5,2,2,,,26,,,,,,,
Jenny Lea Academy of Cosmetology and Aesthetics,TN,5,3,2,,,117,,,,,,,
Jersey College,NJ,2,2,1,,,2173,,,,80,68,78,80
Jewish Theological Seminary of America,NY,2,1,1,37850,37850,405,5,61,45,55,67,43,65
Jna Institute of Culinary Arts,PA,2,2,1,,,59,,,,,,,
Joe Kubert School of Cartoon and Graphic Art,NJ,2,2,2,34200,34200,99,,,,78,52,85,54
Joffrey Ballet School,NY,2,2,2,33849,33849,262,,,,100,52,100,100
John A Gupton College,TN,5,2,1,22070,22070,129,,,,,,,
John A Logan College,IL,3,2,1,,,6718,,,,,,,
John Amico School of Hair Design,IL,3,3,2,,,194,,,,,,,
John Brown University,AR,5,1,1,35706,35706,2850,0,140,446,70,38,74,67
John C Calhoun State Community College,AL,5,2,1,,,10802,,,,,,,
John Carroll University,OH,3,1,1,50090,50090,3688,0,226,627,83,26,80,87
John D Rockefeller IV Career Center,WV,5,3,2,,,20,,,,,,,
John F Kennedy University,CA,8,1,1,,,1230,57,174,55,,,,
John Jay Beauty College,LA,5,3,2,,,21,,,,,,,
John Jay Beauty College,LA,5,3,2,,,82,,,,,,,
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,NY,2,3,2,,,101,,,,,,,
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,NY,2,3,2,,,10,,,,,,,
John Paul the Great Catholic University,CA,8,1,1,40898,40898,284,0,8,29,88,41,82,78
John Tyler Community College,VA,5,2,1,,,9875,,,,,,,
John Wesley International Barber and Beauty College,CA,8,3,2,,,86,,,,,,,
John Wood Community College,IL,3,2,1,,,1900,,,,,,,
Johns Hopkins University,MD,2,1,1,63529,63529,21372,619,4658,1671,18,36,18,18
Johnson & Wales University-Charlotte,NC,5,1,1,42893,42893,2255,0,0,389,60,23,58,60
Johnson & Wales University-Denver,CO,7,1,1,42649,42649,1391,0,0,211,78,21,72,82
Johnson & Wales University-North Miami,FL,5,1,1,42649,42649,1904,0,0,287,65,15,60,68
Johnson & Wales University-Online,RI,1,1,1,,,239,0,0,33,,,,
Johnson & Wales University-Providence,RI,1,1,1,42649,42649,9955,17,438,1871,76,22,75,76
Johnson C Smith University,NC,5,1,1,32136,32136,1402,0,0,248,37,13,32,39
Johnson College,PA,2,2,1,28394,28394,455,,,,33,61,39,23
Johnson County Community College,KS,4,2,1,,,19429,,,,,,,
Johnson State College,VT,1,1,1,34566,22566,1613,0,64,324,97,27,95,99
Johnson University,TN,5,1,1,22337,22337,1124,0,38,153,55,74,50,60
Johnson University Florida,FL,5,1,1,22319,22319,222,0,0,45,42,40,49,35
Johnston Community College,NC,5,2,1,,,4021,,,,,,,
Jolei's Hair Institute,SC,5,3,2,,,30,,,,,,,
Jolie Hair and Beauty Academy-Hazleton,PA,2,3,2,,,81,,,,,,,
Jolie Hair and Beauty Academy-Ludlow,MA,1,3,2,,,103,,,,,,,
Jolie Hair and Beauty Academy-Northfield,NJ,2,3,2,,,200,,,,,,,
Jolie Hair and Beauty Academy-Wilkes-Barre,PA,2,3,2,,,142,,,,,,,
Jolie Health and Beauty Academy-Turnersville,NJ,2,3,2,,,138,,,,,,,
Joliet Junior College,IL,3,2,1,,,15776,,,,,,,
Jones College-Jacksonville,FL,5,1,1,,,495,0,0,28,,,,
Jones County Junior College,MS,5,2,1,13610,11610,4455,,,,,,,
Jones International University,CO,7,1,1,,,1851,31,423,133,,,,
Jonesville Beauty School,LA,5,3,2,,,36,,,,,,,
Jose Maria Vargas University,FL,5,1,1,,,147,0,0,1,,,,
Josef's School of Hair Design Inc-Fargo Downtown,ND,4,2,2,,,49,,,,,,,
Josef's School of Hair Design Inc-Fargo West,ND,4,2,2,,,51,,,,,,,
Josef's School of Hair Design Inc-Grand Forks,ND,4,2,2,,,51,,,,,,,
Joseph Charles Institute of Cosmetology,ID,7,2,2,,,67,,,,,,,
Joseph F McCloskey School of Nursing at Schuylkill Health,PA,2,2,2,,,60,,,,,,,
Joseph's College,NE,4,2,2,,,229,,,,,,,
Judson College,AL,5,1,1,29742,29742,378,0,0,45,74,34,,74
Judson University,IL,3,1,1,40110,40110,1288,0,60,238,71,39,70,71
Jung Tao School of Classical Chinese Medicine,NC,5,1,1,,,70,0,18,0,,,,
Juniata College,PA,2,1,1,51190,51190,1632,0,10,380,74,24,75,73
Jupiter Beauty Academy,MA,1,3,2,,,124,,,,,,,
JZ Trend Academy Paul Mitchell Partner School,ND,4,2,2,,,49,,,,,,,
Kaizen Beauty Academy,FL,5,3,2,,,52,,,,,,,
Kalamazoo College,MI,3,1,1,52654,52654,1461,0,0,287,67,27,63,70
Kalamazoo Valley Community College,MI,3,2,1,,,9489,,,,,,,
Kankakee Community College,IL,3,2,1,,,3378,,,,,,,
Kansas City Art Institute,MO,4,1,1,52258,52258,660,0,0,154,64,27,57,68
KANSAS CITY COLLEGE AND BIBLE SCHOOL,KS,4,1,1,13600,13600,30,0,0,1,,,,
Kansas City Kansas Community College,KS,4,2,1,22900,18880,6198,,,,,,,
Kansas City University of Medicine and Biosciences,MO,4,1,1,,,1106,238,36,0,,,,
Kansas State University,KS,4,1,1,35896,22306,24766,274,1031,3670,96,40,95,97
Kansas Wesleyan University,KS,4,1,1,38200,38200,710,0,27,144,54,41,48,62
Kapiolani Community College,HI,8,2,1,,,7994,,,,,,,
Kaplan Career Institute-Broomall,PA,2,2,1,,,337,,,,,,,
Kaplan Career Institute-Cleveland,OH,3,3,2,,,91,,,,,,,
Kaplan Career Institute-Dearborn,MI,3,2,1,,,,,,,,,,
Kaplan Career Institute-Franklin Mills,PA,2,2,1,,,640,,,,,,,
Kaplan Career Institute-Harrisburg,PA,2,2,1,,,217,,,,,,,
Kaplan Career Institute-Nashville,TN,5,2,1,,,369,,,,,,,
Kaplan Career Institute-Philadelphia,PA,2,2,1,,,610,,,,,,,
Kaplan Career Institute-Pittsburgh,PA,2,2,1,,,444,,,,,,,
Kaplan College-Arlington,TX,6,2,1,,,399,,,,,,,
Kaplan College-Bakersfield,CA,8,2,1,,,393,,,,,,,
Kaplan College-Beaumont,TX,6,2,1,,,198,,,,,,,
Kaplan College-Brownsville,TX,6,2,1,,,345,,,,,,,
Kaplan College-Charlotte,NC,5,2,1,,,249,,,,,,,
Kaplan College-Chula Vista,CA,8,2,1,,,279,,,,,,,
Kaplan College-Corpus Christi,TX,6,2,1,,,399,,,,,,,
Kaplan College-Dallas,TX,6,2,1,,,435,,,,,,,
Kaplan College-Dayton,OH,3,2,1,,,317,,,,,,,
Kaplan College-El Paso,TX,6,2,1,,,576,,,,,,,
Kaplan College-Fort Worth,TX,6,2,1,,,284,,,,,,,
Kaplan College-Fresno,CA,8,2,1,,,272,,,,,,,
Kaplan College-Hammond,IN,3,3,2,,,299,,,,,,,
Kaplan College-Indianapolis,IN,3,2,1,,,,,,,,,,
Kaplan College-Indianapolis,IN,3,2,1,,,501,,,,,,,
Kaplan College-Jacksonville,FL,5,2,1,,,121,,,,,,,
Kaplan College-Laredo,TX,6,2,1,,,300,,,,,,,
Kaplan College-Las Vegas,NV,8,2,1,,,944,,,,,,,
Kaplan College-Lubbock,TX,6,2,1,,,314,,,,,,,
Kaplan College-McAllen,TX,6,2,1,,,519,,,,,,,
Kaplan College-Modesto,CA,8,2,1,,,429,,,,,,,
Kaplan College-North Hollywood,CA,8,2,1,,,789,,,,,,,
Kaplan College-Palm Springs,CA,8,2,1,,,379,,,,,,,
Kaplan College-Phoenix,AZ,6,2,1,,,,,,,,,,
Kaplan College-Riverside,CA,8,2,1,,,167,,,,,,,
Kaplan College-Sacramento,CA,8,2,1,,,429,,,,,,,
Kaplan College-San Antonio-Ingram,TX,6,2,1,,,556,,,,,,,
Kaplan College-San Antonio-San Pedro,TX,6,2,1,,,574,,,,,,,
Kaplan College-San Diego,CA,8,2,1,,,1297,,,,,,,
Kaplan College-Vista,CA,8,2,1,,,812,,,,,,,
Kaplan University-Augusta Campus,ME,1,1,1,,,493,0,0,1,,,,
Kaplan University-Cedar Falls Campus,IA,4,1,1,,,403,0,22,44,,,,
Kaplan University-Cedar Rapids Campus,IA,4,1,1,,,575,0,9,85,,,,
Kaplan University-Davenport Campus,IA,4,1,1,,,52018,118,2852,4771,,,,
Kaplan University-Des Moines Campus,IA,4,1,1,,,874,0,16,102,,,,
Kaplan University-Hagerstown Campus,MD,2,1,1,,,911,0,15,68,,,,
Kaplan University-Lincoln Campus,NE,4,1,1,,,593,0,8,43,,,,
Kaplan University-Maine Campus,ME,1,1,1,,,1080,0,2,84,,,,
Kaplan University-Mason City Campus,IA,4,1,1,,,276,0,8,31,,,,
Kaplan University-Omaha Campus,NE,4,1,1,,,720,0,18,66,,,,
Kaskaskia College,IL,3,2,1,,,4906,,,,,,,
Kauai Community College,HI,8,2,1,,,1424,,,,,,,
Kay Harvey Academy of Hair Design,MA,1,3,2,,,34,,,,,,,
KC's School of Hair Design,MS,5,2,2,,,94,,,,,,,
KD College Conservatory of Film and Dramatic Arts,TX,6,2,1,,,162,,,,68,63,74,62
Kean University,NJ,2,1,1,34417,28008,14359,5,596,2582,80,38,78,82
Keck Graduate Institute,CA,8,1,1,,,310,1,75,0,,,,
Keene Beauty Academy,NH,1,3,2,,,51,,,,,,,
Keene State College,NH,1,1,1,32902,24982,4957,0,55,1053,82,25,77,86
Kehilath Yakov Rabbinical Seminary,NY,2,1,1,13700,13700,125,0,0,17,,,,
Keiser University-Ft Lauderdale,FL,5,1,1,,,19110,17,212,851,93,85,97,92
Kellogg Community College,MI,3,2,1,,,5929,,,,,,,
Kendall College,IL,3,1,1,44778,44778,1516,0,0,289,88,41,87,88
Kennebec Valley Community College,ME,1,2,1,,,2401,,,,,,,
Kennesaw State University,GA,5,1,1,34346,24628,25714,31,718,3568,57,60,56,57
Kenneth Shuler School of Cosmetology and Nails-Columbia,SC,5,3,2,,,95,,,,,,,
Kenneth Shuler School of Cosmetology-Columbia,SC,5,3,2,,,119,,,,,,,
Kenneth Shuler School of Cosmetology-Florence,SC,5,3,2,,,161,,,,,,,
Kenneth Shuler School of Cosmetology-Greenville,SC,5,3,2,,,170,,,,,,,
Kenneth Shuler School of Cosmetology-North Augusta,SC,5,3,2,,,129,,,,,,,
Kenneth Shuler School of Cosmetology-Rock Hill,SC,5,3,2,,,127,,,,,,,
Kenneth Shuler School of Cosmetology-Spartanburg,SC,5,3,2,,,138,,,,,,,
Kenrick Glennon Seminary,MO,4,1,1,33597,33597,132,0,18,14,91,100,91,
Kent State University at Ashtabula,OH,3,1,1,,,2281,0,0,11,,,,
Kent State University at East Liverpool,OH,3,1,1,,,1481,0,0,1,,,,
Kent State University at Geauga,OH,3,1,1,,,2725,0,0,4,,,,
Kent State University at Kent,OH,3,1,1,33486,25526,29477,259,1573,4644,83,31,81,84
Kent State University at Salem,OH,3,1,1,,,1799,0,0,39,,,,
Kent State University at Stark,OH,3,1,1,,,4678,0,0,19,,,,
Kent State University at Trumbull,OH,3,1,1,,,2799,0,0,9,,,,
Kent State University at Tuscarawas,OH,3,1,1,,,2301,0,0,10,,,,
Kentucky Christian University,KY,5,1,1,29970,29970,658,0,5,78,51,45,48,56
Kentucky Community and Technical College System,KY,5,2,1,,,,,,,,,,
Kentucky Mountain Bible College,KY,5,1,1,12865,12865,84,0,0,9,51,56,52,50
Kentucky State University,KY,5,1,1,28004,18194,1895,0,49,272,38,21,36,39
Kentucky Wesleyan College,KY,5,1,1,34640,34640,709,0,0,157,67,24,65,70
Kenyon College,OH,3,1,1,62160,62160,1662,0,0,468,38,31,42,36
Kettering College,OH,3,1,1,24048,24048,760,0,41,88,85,94,71,87
Kettering University,MI,3,1,1,52917,52917,2079,0,121,307,62,28,67,50
Keuka College,NY,2,1,1,44560,44560,1997,0,136,563,88,19,86,88
Keweenaw Bay Ojibwa Community College,MI,3,2,1,,,89,,,,,,,
Key College,FL,5,2,1,,,59,,,,,,,
Keystone College,PA,2,1,1,36200,36200,1484,0,0,285,72,40,69,74
Keystone Technical Institute,PA,2,2,1,,,341,,,,,,,
Kiamichi Technology Center-Atoka,OK,6,3,2,,,189,,,,,,,
Kiamichi Technology Center-Durant,OK,6,2,2,,,80,,,,,,,
Kiamichi Technology Center-Hugo,OK,6,3,2,,,86,,,,,,,
Kiamichi Technology Center-Idabel,OK,6,3,2,,,72,,,,,,,
Kiamichi Technology Center-McAlester,OK,6,3,2,,,207,,,,,,,
Kiamichi Technology Center-Poteau,OK,6,3,2,,,225,,,,,,,
Kiamichi Technology Center-Spiro,OK,6,3,2,,,52,,,,,,,
Kiamichi Technology Center-Stigler,OK,6,3,2,,,21,,,,,,,
Kiamichi Technology Center-Talihina,OK,6,3,2,,,101,,,,,,,
Kilgore College,TX,6,2,1,15643,14443,5768,,,,,,,
Kilian Community College,SD,4,2,1,,,224,,,,,,,
King University,TN,5,1,1,38578,38578,2897,0,209,739,64,35,68,61
King's College,NC,5,2,1,25480,25480,395,,,,89,30,89,89
King's College,PA,2,1,1,47272,47272,2308,0,86,474,72,25,68,76
King's University,TX,6,1,1,,,692,10,34,18,86,42,85,87
Kirksville Area Technical Center,MO,4,3,2,,,34,,,,31,100,50,22
Kirkwood Community College,IA,4,2,1,,,14190,,,,,,,
Kirtland Community College,MI,3,2,1,,,1773,,,,,,,
Kishwaukee College,IL,3,2,1,,,4475,,,,,,,
Kittanning Beauty School,PA,2,3,2,,,27,,,,,,,
Klamath Community College,OR,8,2,1,,,1343,,,,,,,
Knowledge Systems Institute,IL,3,1,1,,,193,0,7,0,,,,
Knox Beauty College,IN,3,3,2,,,40,,,,,,,
Knox College,IL,3,1,1,51121,51121,1399,0,0,316,75,19,66,82
Knox County Career Center,OH,3,3,2,,,303,,,,,,,
Knox Theological Seminary,FL,5,1,1,,,287,7,18,0,,,,
Knoxville Institute of Hair Design,TN,5,3,2,,,48,,,,,,,
Kussad Institute of Court Reporting,TX,6,2,2,,,16,,,,,,,
Kutztown University of Pennsylvania,PA,2,1,1,34263,23813,9218,0,234,1692,82,29,80,83
Kuyper College,MI,3,1,1,28648,28648,270,0,0,60,68,36,71,67
L E Fletcher Technical Community College,LA,5,2,1,,,1777,,,,,,,
L T International Beauty School,PA,2,3,2,,,39,,,,,,,
L'Academie de Cuisine,MD,2,3,2,,,63,,,,84,63,80,86
L'Ecole Culinaire-Kansas City,MO,4,2,1,,,193,,,,,,,
L'Ecole Culinaire-Memphis,TN,5,2,1,,,442,,,,,,,
L'Ecole Culinaire-St Louis,MO,4,2,1,,,308,,,,,,,
L'esprit Academy,MI,3,3,2,,,164,,,,,,,
La Baron Hairdressing Academy-Brockton,MA,1,3,2,,,38,,,,,,,
La Baron Hairdressing Academy-New Bedford,MA,1,3,2,,,57,,,,,,,
La Baron Hairdressing Academy-Overland Park,KS,4,3,2,,,44,,,,,,,
La Belle Beauty Academy,FL,5,3,2,,,403,,,,,,,
La Belle Beauty School,FL,5,3,2,,,251,,,,,,,
La James College of Hairstyling and Cosmetology,IA,4,2,2,,,100,,,,,,,
La James International College-Cedar Falls,IA,4,2,2,,,61,,,,,,,
La James International College-Davenport,IA,4,2,2,,,43,,,,,,,
La James International College-East Moline,IL,3,3,2,,,17,,,,,,,
La James International College-Ft Dodge,IA,4,2,2,,,61,,,,,,,
La James International College-Iowa City,IA,4,2,2,,,54,,,,,,,
La James International College-Johnston,IA,4,2,2,,,89,,,,,,,
La Roche College,PA,2,1,1,39454,39454,1412,0,35,298,56,28,54,57
La Salle University,PA,2,1,1,54360,54360,6242,21,544,864,80,21,81,80
La Sierra University,CA,8,1,1,42720,42720,2510,2,91,255,47,29,45,48
La'James International College,NE,4,2,2,,,24,,,,,,,
LaBarberia Institute of Hair,OH,3,2,2,,,43,,,,,,,
Labette Community College,KS,4,2,1,,,1891,,,,,,,
Laboure College,MA,1,1,1,,,757,0,0,5,87,45,90,87
Lac Courte Oreilles Ojibwa Community College,WI,3,2,1,,,352,,,,,,,
Lackawanna College,PA,2,2,1,25968,25968,1490,,,,,,,
Lafayette Beauty Academy,IN,3,3,2,,,88,,,,,,,
Lafayette College,PA,2,1,1,61905,61905,2503,0,0,590,34,27,32,37
LaGrange College,GA,5,1,1,41592,41592,964,0,75,155,58,28,62,52
Laguna College of Art and Design,CA,8,1,1,44207,44207,566,0,11,73,43,32,45,43
Laird Institute of Spa Therapy,NH,1,3,2,,,58,,,,,,,
Lake Area Technical Institute,SD,4,2,1,,,1654,,,,,,,
Lake Career and Technical Center,MO,4,3,2,,,19,,,,,,,
Lake Erie College,OH,3,1,1,41676,41676,1155,0,71,172,56,32,53,59
Lake Erie College of Osteopathic Medicine,PA,2,1,1,,,3772,789,35,0,,,,
Lake Forest College,IL,3,1,1,53545,53545,1626,0,12,348,57,19,53,60
Lake Forest Graduate School of Management,IL,3,1,1,,,470,0,216,0,,,,
Lake Land College,IL,3,2,1,,,5593,,,,,,,
Lake Lanier School of Massage,GA,5,3,2,,,109,,,,,,,
Lake Michigan College,MI,3,1,1,18861,17472,4219,0,0,0,,,,
Lake Region State College,ND,4,2,1,14111,14111,1988,,,,,,,
Lake Superior College,MN,4,2,1,,,5101,,,,,,,
Lake Superior State University,MI,3,1,1,27404,22340,2407,0,3,453,92,31,90,93
Lake Tahoe Community College,CA,8,2,1,,,2419,,,,,,,
Lake Technical Center,FL,5,2,2,,,669,,,,,,,
Lake Washington Institute of Technology,WA,8,1,1,,,3660,0,0,15,,,,
Lake-Sumter State College,FL,5,1,1,,,4470,0,0,0,,,,
Lakeland College,WI,3,1,1,36588,36588,3973,0,247,524,66,37,49,62
Lakeland Community College,OH,3,2,1,,,8250,,,,,,,
Lakes Region Community College,NH,1,2,1,,,1183,,,,,,,
Lakeshore Technical College,WI,3,2,1,,,3008,,,,,,,
Lakeview College of Nursing,IL,3,1,1,,,317,0,0,139,,,,
Lakewood School of Therapeutic Massage,MI,3,3,2,,,23,,,,,,,
Lamar Community College,CO,7,2,1,18274,15909,839,,,,,,,
Lamar Institute of Technology,TX,6,2,1,,,2799,,,,,,,
Lamar State College-Orange,TX,6,2,1,,,2259,,,,,,,
Lamar State College-Port Arthur,TX,6,2,1,,,2077,,,,,,,
Lamar University,TX,6,1,1,29692,20989,14895,82,1873,1472,77,39,80,75
Lamson Institute,TX,6,3,2,,,169,,,,,,,
Lancaster Beauty School,CA,8,3,2,,,124,,,,,,,
Lancaster Bible College,PA,2,1,1,30770,30770,2011,1,92,262,58,69,55,61
Lancaster County Career and Technology Center,PA,2,2,1,,,462,,,,,,,
Lancaster School of Cosmetology,PA,2,3,2,,,230,,,,,,,
Lancaster Theological Seminary,PA,2,1,1,,,118,4,23,0,,,,
Lander University,SC,5,1,1,31438,22118,2787,0,22,550,42,40,41,42
Landmark College,VT,1,1,1,65430,65430,518,0,0,0,86,59,87,86
Lane College,TN,5,1,1,19950,19950,1262,0,0,239,49,18,49,49
Lane Community College,OR,8,2,1,20539,15463,9236,,,,,,,
Laney College,CA,8,2,1,,,10548,,,,,,,
Langston University,OK,6,1,1,24783,17797,2482,22,110,292,,,,
Lanier Technical College,GA,5,2,1,,,3695,,,,,,,
Lansdale School of Business,PA,2,2,1,,,344,,,,,,,
Lansdale School of Cosmetology Inc,PA,2,3,2,,,65,,,,,,,
Lansing Community College,MI,3,2,1,,,16031,,,,,,,
Laramie County Community College,WY,7,2,1,17408,13424,4388,,,,,,,
Laredo Beauty College Inc,TX,6,3,2,,,148,,,,,,,
Laredo Community College,TX,6,2,1,,,8307,,,,,,,
Larry's Barber College,IL,3,3,2,,,142,,,,,,,
Las Positas College,CA,8,2,1,,,8835,,,,,,,
Lasell College,MA,1,1,1,47250,47250,2070,0,127,328,76,18,72,79
Lassen Community College,CA,8,2,1,17007,12231,2557,,,,,,,
Latter-day Saints Business College,UT,7,2,1,,,2006,,,,,,,
Laurel Business Institute,PA,2,2,1,,,233,,,,83,70,73,85
Laurel Technical Institute,PA,2,2,1,,,157,,,,74,59,47,81
Laurel University,NC,5,1,1,19655,19655,199,0,74,57,39,86,49,30
Laurus College,CA,8,3,2,,,897,,,,,,,
Laurus Technical Institute,GA,5,3,2,,,,,,,,,,
Lawrence & Company College of Cosmetology,CA,8,3,2,,,30,,,,,,,
Lawrence & Company College of Cosmetology,CA,8,3,2,,,62,,,,100,53,,100
Lawrence County Career and Technical Center-Practical Nursing Program,PA,2,3,2,,,,,,,59,60,100,57
Lawrence Memorial Hospital School of Nursing,MA,1,2,1,,,283,,,,,,,
Lawrence Technological University,MI,3,1,1,44699,44699,4015,3,367,317,44,43,44,44
Lawrence University,WI,3,1,1,53790,53790,1511,0,0,366,73,20,69,75
Lawson State Community College-Birmingham Campus,AL,5,2,1,17070,13650,3090,,,,,,,
Lawyer's Assistant School of Dallas,TX,6,3,2,,,85,,,,,,,
Le Cordon Bleu College of Culinary Arts-Atlanta,GA,5,2,1,,,1170,,,,,,,
Le Cordon Bleu College of Culinary Arts-Austin,TX,6,2,1,,,643,,,,,,,
Le Cordon Bleu College of Culinary Arts-Cambridge,MA,1,2,1,,,474,,,,,,,
Le Cordon Bleu College of Culinary Arts-Chicago,IL,3,2,1,,,1086,,,,,,,
Le Cordon Bleu College of Culinary Arts-Dallas,TX,6,2,1,,,909,,,,,,,
Le Cordon Bleu College of Culinary Arts-Las Vegas,NV,8,2,1,,,587,,,,,,,
